function,scale,data,algorithm,seed,final_dist_y,final_dist_x,steps
Sphere,raw,noisy_y,random,32,0.8372258488934737,0.9150004638760976,
Sphere,raw,noisy_y,random,33,0.5312396103960287,0.7288618596112907,
Sphere,raw,noisy_y,random,34,0.8380538778442803,0.9154528266624558,
Sphere,raw,noisy_y,random,35,1.9167244497653175,1.3844581791319366,
Sphere,raw,noisy_y,random,36,0.43954460540248086,0.6629816026123808,
Sphere,raw,noisy_y,random,37,0.6730409689981013,0.8203907416579622,
Sphere,raw,noisy_y,random,38,0.40628704051360864,0.6374064955062889,
Sphere,raw,noisy_y,random,39,0.15502049787177133,0.3937264251631726,
Sphere,raw,noisy_y,random,40,0.2673423420459733,0.5170515854786379,
Sphere,raw,noisy_y,random,41,0.8682539395842302,0.931801448584531,
Sphere,raw,noisy_y,random,42,0.026436008995089022,0.16259154035523812,
Sphere,raw,noisy_y,random,43,0.536740492850646,0.7326257522436991,
Sphere,raw,noisy_y,random,44,0.6879007790181282,0.8293978412186327,
Sphere,raw,noisy_y,random,45,0.309916742058081,0.556701663423131,
Sphere,raw,noisy_y,random,46,0.23480041644139493,0.4845620872926347,
Sphere,raw,noisy_y,random,47,0.025238191487391336,0.15886532500011238,
Sphere,raw,noisy_y,random,48,0.8854271384696722,0.940971380260671,
Sphere,raw,noisy_y,random,49,1.131509942120248,1.0637245612094552,
Sphere,raw,noisy_y,tpe,0,0.0300630606388933,0.17338702557830935,
Sphere,raw,noisy_y,tpe,1,0.0007535784331715623,0.027451383083035404,46.0
Sphere,raw,noisy_y,tpe,2,0.005368171106587811,0.07326780402460421,
Sphere,raw,noisy_y,tpe,3,0.0011324542760424883,0.03365195798230006,32.0
Sphere,raw,noisy_y,tpe,4,0.20157214851146482,0.44896787024403517,
Sphere,raw,noisy_y,tpe,5,0.027015373147943486,0.1643635395942284,
Sphere,raw,noisy_y,tpe,6,7.622648233573724e-05,0.008730777876898325,79.0
Sphere,raw,noisy_y,tpe,7,0.003133360531332388,0.05597642835455285,
Sphere,raw,noisy_y,tpe,8,0.0001271373901178181,0.011275521722644061,43.0
Sphere,raw,noisy_y,tpe,9,0.09408607138628296,0.30673452917186056,
Sphere,raw,noisy_y,tpe,10,0.0026150567211198203,0.05113762529801145,
Sphere,raw,noisy_y,tpe,11,0.0013935052757826267,0.03732968357463838,
Sphere,raw,noisy_y,tpe,12,0.0006941005531488856,0.026345788148181972,48.0
Sphere,raw,noisy_y,tpe,13,0.3039835508868166,0.551347033080633,
Sphere,raw,noisy_y,tpe,14,0.03718607276529278,0.19283690716585553,
Sphere,raw,noisy_y,tpe,15,1.2182269387194276,1.1037331827572403,
Sphere,raw,noisy_y,tpe,16,0.004611125559281008,0.06790526900970946,
Sphere,raw,noisy_y,tpe,17,0.0013959776191112393,0.03736278387796123,23.0
Sphere,raw,noisy_y,tpe,18,0.23332172280969468,0.4830338733564083,
Sphere,raw,noisy_y,tpe,19,0.020101712323252294,0.14178050755746466,
Sphere,raw,noisy_y,tpe,20,0.055923640396051105,0.23648179717697324,
Sphere,raw,noisy_y,tpe,21,0.014952489305751986,0.1222803717108841,
Sphere,raw,noisy_y,tpe,22,0.11144001530051145,0.33382632505617565,
Sphere,raw,noisy_y,tpe,23,0.0518055150653561,0.22760824911535193,
Sphere,raw,noisy_y,tpe,24,0.0023511692224934292,0.048488856683710634,37.0
Sphere,raw,noisy_y,tpe,25,0.002832103420567458,0.053217510469463505,42.0
Sphere,raw,noisy_y,tpe,26,0.0050930362433908895,0.07136551158221238,
Sphere,raw,noisy_y,tpe,27,0.007827607546259174,0.0884737675599902,
Sphere,raw,noisy_y,tpe,28,0.04848602313718626,0.22019542033654166,
Sphere,raw,noisy_y,tpe,29,0.0005318494298431082,0.02306186093625378,47.0
Sphere,raw,noisy_y,tpe,30,0.12393309646284953,0.35204132777679603,
Sphere,raw,noisy_y,tpe,31,0.025473336932299234,0.1596036870886736,
Sphere,raw,noisy_y,tpe,32,0.0025308597413771948,0.050307650922868534,
Sphere,raw,noisy_y,tpe,33,0.006054476226380414,0.07781051488314683,37.0
Sphere,raw,noisy_y,tpe,34,0.0010244642703081232,0.03200725340150453,36.0
Sphere,raw,noisy_y,tpe,35,0.08831392270545746,0.29717658505585104,
Sphere,raw,noisy_y,tpe,36,0.0016029782937292112,0.040037211363045895,37.0
Sphere,raw,noisy_y,tpe,37,0.010821056799340284,0.10402430869436376,
Sphere,raw,noisy_y,tpe,38,0.0003816715998138042,0.01953641727169555,58.0
Sphere,raw,noisy_y,tpe,39,0.0012018999680082835,0.034668428980966004,49.0
Sphere,raw,noisy_y,tpe,40,0.0007766110194048343,0.027867741555512426,73.0
Sphere,raw,noisy_y,tpe,41,0.0067493676515068615,0.0821545351852645,
Sphere,raw,noisy_y,tpe,42,0.10581209035844051,0.32528770397671125,
Sphere,raw,noisy_y,tpe,43,0.0009254884396783996,0.030421841490586982,64.0
Sphere,raw,noisy_y,tpe,44,0.2522579203720149,0.5022528450611453,
Sphere,raw,noisy_y,tpe,45,0.0025938227563401303,0.05092958625730362,
Sphere,raw,noisy_y,tpe,46,0.0026920835088832208,0.051885291835771924,
Sphere,raw,noisy_y,tpe,47,0.11704084013774438,0.3421123209382328,
Sphere,raw,noisy_y,tpe,48,0.0015138823993645853,0.0389086417054693,39.0
Sphere,raw,noisy_y,tpe,49,0.0046961236495663625,0.06852826898124863,
Sphere,raw,noisy_y,tpe_gradw,0,0.34468384027126947,0.5870978115027082,
Sphere,raw,noisy_y,tpe_gradw,1,0.037211968383387695,0.1929040393133013,
Sphere,raw,noisy_y,tpe_gradw,2,0.0008069858587242479,0.02840749652335186,66.0
Sphere,raw,noisy_y,tpe_gradw,3,1.2561346507443663e-05,0.003544198993770477,23.0
Sphere,raw,noisy_y,tpe_gradw,4,0.012486701783847682,0.1117439116186993,
Sphere,raw,noisy_y,tpe_gradw,5,0.0015095538936750242,0.038852977925443816,
Sphere,raw,noisy_y,tpe_gradw,6,0.0005377652476664214,0.02318976601146336,22.0
Sphere,raw,noisy_y,tpe_gradw,7,0.014188351008200385,0.1191148647659073,
Sphere,raw,noisy_y,tpe_gradw,8,0.288330461814378,0.5369641159466598,
Sphere,raw,noisy_y,tpe_gradw,9,0.012319192560401166,0.11099185808157806,
