function,scale,data,algorithm,threshold_y,n_seeds,success_rate_%,steps_mean,steps_std,final_dist_y_mean,final_dist_y_std,final_dist_y_median,final_dist_x_mean,final_dist_x_std,final_dist_x_median
Rastrigin,norm,noisy_y,tpe_gradw_gp,1.0,50,4.0,51.0,5.0,3.4892423293772867,2.7042098150024207,2.3004630894772156,1.616782849248249,0.6854058878344278,1.4107534518882567
Rastrigin,norm,noisy_y,optuna,1.0,50,8.0,41.5,14.150971698084906,2.9045980540151586,1.6008300820400239,2.6942798034265394,1.0894435162693161,0.580774163763965,1.0478326671490379
Ackley,raw,clean,random,0.5,50,2.0,13.0,0.0,3.034115597176954,1.04761786828315,3.099847073963597,0.7459414848044662,0.4370916791499054,0.7382881684926865
Ackley,raw,clean,tpe,0.5,50,66.0,41.121212121212125,16.271852580746607,0.8790989480374014,1.1954371757968576,0.1614449782037064,0.28040800727418597,0.4242438643561418,0.041257597459817996
Ackley,raw,clean,tpe_gradw,0.5,50,74.0,41.91891891891892,14.885832877366495,0.7841264251850864,1.3164605698889382,0.06477757218811186,0.26896697273694525,0.4995543136761763,0.019364584017919788
Ackley,raw,clean,tpe_gp,0.5,50,84.0,31.952380952380953,12.330667113904378,0.4127514240458644,0.8392475863128368,0.07084734666418813,0.13301968913034556,0.3103446527695052,0.02092677023524554
Ackley,raw,clean,tpe_gradw_gp,0.5,50,92.0,37.06521739130435,10.455708184929092,0.229229150615906,0.6044667537859484,0.04883043906099305,0.0762240155684673,0.22285949086398932,0.015116320538944093
Ackley,raw,clean,optuna,0.5,50,24.0,53.666666666666664,15.134581446328655,0.9894508562350249,0.5844586752804273,0.9682526818851369,0.16236119430165913,0.12129468648322293,0.15498246164658736
Ackley,raw,noisy_y,random,0.5,50,2.0,13.0,0.0,3.0351683720580245,1.0486255452936526,3.099847073963597,0.7554543100898569,0.443926960048315,0.7382881684926865
Ackley,raw,noisy_y,tpe,0.5,50,68.0,36.64705882352941,11.881479292285551,0.8946989195872542,1.2486245799174531,0.14075555531129114,0.2956148435667205,0.47004501737616383,0.036998780562122524
Ackley,raw,noisy_y,tpe_gradw,0.5,50,68.0,40.6764705882353,11.873649987002347,0.8257406734139249,1.267284771389109,0.12488364898771787,0.26051972913709637,0.4720817649150847,0.03356774458452202
Ackley,raw,noisy_y,tpe_gp,0.5,50,84.0,28.833333333333332,10.176809928335121,0.3117104398512642,0.6215500683411059,0.08610628854591384,0.09047272338471482,0.21827679433533181,0.02471551893625284
Ackley,raw,noisy_y,tpe_gradw_gp,0.5,50,84.0,38.095238095238095,10.56005394063046,0.5480811890201259,1.2323814305933916,0.10531994562365066,0.18595610055501122,0.48243342117539184,0.029223004153171077
Ackley,raw,noisy_y,optuna,0.5,50,26.0,50.84615384615385,16.289903214738942,0.9606626761197536,0.565338581847938,0.8654224368507433,0.15046490487635142,0.07040775724912626,0.14175721100248487
Ackley,norm,clean,random,0.5,50,2.0,13.0,0.0,3.034115597176954,1.04761786828315,3.099847073963597,0.7459414848044662,0.4370916791499054,0.7382881684926865
Ackley,norm,clean,tpe,0.5,50,66.0,41.121212121212125,16.271852580746607,0.8790989480374014,1.1954371757968576,0.1614449782037064,0.28040800727418597,0.4242438643561418,0.041257597459817996
Ackley,norm,clean,tpe_gradw,0.5,50,52.0,34.88461538461539,14.468339235609816,1.3427773489164112,1.5866922677170805,0.2995515689682162,0.47304636666381567,0.6177840453136363,0.06600376961399812
Ackley,norm,clean,tpe_gp,0.5,50,62.0,34.225806451612904,11.866759422367402,1.010267106779598,1.2690439747419764,0.13658391620412802,0.3141753362436059,0.44153019443731045,0.03611574578447017
Ackley,norm,clean,tpe_gradw_gp,0.5,50,66.0,37.75757575757576,15.805695757083045,0.901472723746057,1.3045994093905153,0.1015716692349824,0.27811819550994854,0.4584368586098143,0.028288147247214637
Ackley,norm,clean,optuna,0.5,50,24.0,53.666666666666664,15.134581446328655,0.9894508562350249,0.5844586752804273,0.9682526818851369,0.16236119430165913,0.12129468648322293,0.15498246164658736
Ackley,norm,noisy_y,random,0.5,50,2.0,13.0,0.0,3.0351683720580245,1.0486255452936526,3.099847073963597,0.7554543100898569,0.443926960048315,0.7382881684926865
Ackley,norm,noisy_y,tpe,0.5,50,68.0,36.64705882352941,11.881479292285551,0.8946989195872542,1.2486245799174531,0.14075555531129114,0.2956148435667205,0.47004501737616383,0.036998780562122524
Ackley,norm,noisy_y,tpe_gradw,0.5,50,68.0,39.55882352941177,15.826617892336778,0.9858360467114322,1.520033579472108,0.160831005761207,0.3511914870750401,0.5967852584008836,0.04112391865596424
Ackley,norm,noisy_y,tpe_gp,0.5,50,64.0,33.375,12.141741020133809,0.9649988515007425,1.3455326315204812,0.14731124223400238,0.29007233247976894,0.4518579411433632,0.03837090786921538
Ackley,norm,noisy_y,tpe_gradw_gp,0.5,50,64.0,34.9375,16.70504695443865,0.7404427559686634,1.0094292347915024,0.12570572065182306,0.21438591952196387,0.3587770235382969,0.03378158410651377
Ackley,norm,noisy_y,optuna,0.5,50,26.0,50.84615384615385,16.289903214738942,0.9606626761197536,0.565338581847938,0.8654224368507433,0.15046490487635142,0.07040775724912626,0.14175721100248487
