function,algorithm,data,raw_final_dist_y,norm_final_dist_y,delta_norm_minus_raw,identical
Sphere,tpe_gp_refine,noisy_y,0.0007766028843163953,0.001070240838695779,0.0002936379543793836,False
Sphere,tpe_gp_w,clean,0.0021066413702993912,0.1011173963145859,0.0990107549442865,False
Sphere,tpe_gp_w,noisy_y,0.00557817798498346,0.08862268201572196,0.0830445040307385,False
Sphere,tpe_refine,clean,6.981375018238293e-07,6.981375018238293e-07,0.0,True
Sphere,tpe_refine,noisy_y,0.0006047158139672782,0.0006047158139672782,0.0,True
Sphere,tpe_w_sign,clean,0.16480901039146642,0.16480901039146642,0.0,True
Sphere,tpe_w_sign,noisy_y,0.19986892855082516,0.19986892855082516,0.0,True
Sphere,tpe_w_sign_inv,clean,0.09180290853717231,0.09180290853717231,0.0,True
Sphere,tpe_w_sign_inv,noisy_y,0.09838565300426291,0.09838565300426291,0.0,True
Sphere,tpe_w_smooth,clean,0.17651135907980314,0.17651135907980314,0.0,True
Sphere,tpe_w_smooth,noisy_y,0.1707873965550171,0.1707873965550171,0.0,True
Sphere,tpe_w_smooth_inv,clean,0.09303700231306573,0.09303700231306573,0.0,True
Sphere,tpe_w_smooth_inv,noisy_y,0.09846080276407976,0.09846080276407976,0.0,True
